career_seq,career_major_name,career_major_category,updated_at,general_selection_subjects,career_selection_subjects,convergence_selection_subjects,source_text,source_url,collected_at
140,레크리에이션과,예체능계열,2026-04-30,독서와 작문|문학|대수|미적분 Ⅰ|확률과 통계|영어 I|영어 Ⅱ|영어 독해와 작문|세계시민과 지리|사회와 문화|현대사회와 윤리|정보,경제|법과 사회|윤리와 사상|국제 관계의 이해|인공지능 기초|데이터 과학,독서 토론과 글쓰기|실용 통계|실생활 영어 회화|사회문제 탐구|금융과 경제생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 스포츠경영학과",https://www.career.go.kr/cloud/w/major/uView?seq=140,2026-06-02T12:16:26+00:00
309,시각디자인학과,예체능계열,2025-10-30,독서와 작문|문학|대수|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해오작문|미술|정보,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|사회문제 탐구|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 디자인과",https://www.career.go.kr/cloud/w/major/uView?seq=309,2026-06-02T12:16:27+00:00
458,재활학과,의약계열,2025-09-15,물리학|화학|생명과학|현대사회와 윤리,세포와 물질대사|생물의 유전|법과 사회|보건,융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 재활치료학과",https://www.career.go.kr/cloud/w/major/uView?seq=458,2026-06-02T12:16:27+00:00
10027,스포츠재활과,예체능계열,2025-07-01,독서와 작문|문학|대수|미적분Ⅰ|확률과 통계|영어 I|영어 독해와 작문|현대사회와 윤리|생명과학|화학|정보|교육학,법과 사회|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,실생활 영어 회화|실용 통계|윤리문제 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 스포츠의학과",https://www.career.go.kr/cloud/w/major/uView?seq=10027,2026-06-02T12:16:28+00:00
20,건축학과,공학계열,2025-06-12,대수|미적분 Ⅰ|확률과 통계|물리학|화학|세계시민과 지리|사회와 문화|세계사,기하|미적분Ⅱ|도시의 미래 탐구|역학과 에너지|물질과 에너지|화학 반응의 세계|지구시스템과학|한국지리탐구,융합 과학 탐구|과학의 역사와 문화|기후변화와 환경생태|창의공학 설계|기후변화와 지속가능한 세계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 건축학과",https://www.career.go.kr/cloud/w/major/uView?seq=20,2026-06-02T12:16:29+00:00
10030,문화재보존학과,인문계열,2025-01-06,문학|독서와 작문|사회와 문화|세계시민과 지리|세계사|화학|정보,한국지리 탐구|동아시아 역사 기행|법과 사회|인문학과 윤리|화학 반응의 세계|미술 감상과 비평|한문고전 일기|삶과 종교,수학과 문화|여행지리|역사로 탐구하는 현대 세계|사회문제 탐구|미술과 매체|지식 재산 일반|언어생활과 한자,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 문화재보존학과",https://www.career.go.kr/cloud/w/major/uView?seq=10030,2026-06-02T12:16:29+00:00
10156,패션디자인학과,예체능계열,2024-12-23,독서와 작문|문학|대수|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해오작문|미술|정보,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|사회문제 탐구|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 디자인과",https://www.career.go.kr/cloud/w/major/uView?seq=10156,2026-06-02T12:16:29+00:00
449,바이오동물과,자연계열,2024-10-15,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|정보,기하|미적분Ⅱ|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,융합과학 탐구|기후변화와 지속가능한 세계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 생명공학과",https://www.career.go.kr/cloud/w/major/uView?seq=449,2026-06-02T12:16:30+00:00
340,반려동물과,자연계열,2024-10-15,대수|미적분Ⅰ|확률과 통계|화학|생명과학|지구과학|정보,미적분Ⅱ|인공지능 수학|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|생활과학 탐구,실용 통계|기후변화와 환경생태,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 동물자원학과",https://www.career.go.kr/cloud/w/major/uView?seq=340,2026-06-02T12:16:30+00:00
245,산림자원학과,자연계열,2024-07-01,대수|미적분Ⅰ|확률과 통계|물리학|화학|생명과학|정보,미적분Ⅱ|인공지능 수학|한국지리 탐구|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|지구시스템과학|생활과학 탐구,실용 통계|기후변화와 환경생태,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 식물자원학과",https://www.career.go.kr/cloud/w/major/uView?seq=245,2026-06-02T12:16:31+00:00
