school,file_keyword,sheet_name,sheet_confirmed,note
강동고,강동고_2026학년도,,Y,단일시트
남목고,남목고-2026학년도,,Y,단일시트
남창고,남창고등학교_2026학년도,,Y,단일시트
다운고,다운고_2026학년도 신입생,,Y,단일시트(계승)
달천고,달천고 2026학년도,,Y,단일시트
대송고,대송고_2026학년도,,Y,단일시트
대현고,대현고 2026학년도,,Y,단일시트
매곡고,매곡고 2026학년도,매곡고등학교 편제표,Y,사용자 확정
무거고,무거고등학교_2026학년도,,Y,단일시트
무룡고,무룡고 2026학년도,,Y,단일시트
문수고,문수고_2026학년도,,Y,단일시트
문현고,문현고 2024,2026학년도 신입생 3개년 교육과정,Y,자동선정(후보1: 2026학년도 신입생 3개년 교육과정; 전체시트: 2024학년도 신입생 3개년 교육과정/2025학년도 신입생 3개년 교육과정/2026학년도 신입생 3개년 교육과정/2026학년도 전학년 교육과정)
방어진고,방어진고 2026학년도,,Y,단일시트
범서고,범서고_2026학년도 신입생,,Y,단일시트(계승)
삼산고,삼산고 2026학년도,2026신입생,Y,사용자 확정
성광여고,성광여자,12.23 학운위,Y,멀티시트-학운위 심의본 지정(계승)
성신고,성신고 2026학년도,,Y,단일시트
신선여고,신선여고 2026학년도,2026학년도 입학생 교육과정 편제표(1안),Y,자동선정(후보1: 2026학년도 입학생 교육과정 편제표(1안); 전체시트: 수정내용/2025학년도 입학생 교육과정 편제표/2026학년도 입학생 교육과정 편제표(1안)/2025학년도 입학생 교육과정 편제표(현재)/2025학년도 입학생 교육과정 편제표(컨설팅안)/2025년도 입학생 교육과정 편제표(수정안)/2025년도 입학생 교육과정 편제표(최종안)/Sheet1)
신정고,신정고,,Y,단일시트(계승)
약사고,약사고등학교,,Y,단일시트
언양고,언양고 2026학년도,2026학년도 신입생 3개년 편제표(안) 수정 후,Y,자동선정(후보1: 2026학년도 신입생 3개년 편제표(안) 수정 후; 전체시트: 2025학년도 신입생 3개년 편제표(3.12안건용)/2026학년도 신입생 3개년 편제표(안) 수정 후)
우신고,우신고 2026학년도,,Y,단일시트
울산가온고,울산가온고_2026학년도 신입생,2026학년도 신입생(안),Y,신입생+전학년 통합파일(계승)
울산강남고,울산강남,,Y,단일시트(계승)
울산경의고,울산경의고,,Y,단일시트
울산고,울산고등학교_2026학년도,,Y,단일시트
울산동천고,울산동천고,,Y,단일시트
울산여고,울산여자,2026.4.15.,Y,멀티시트-최신본 지정(계승)
울산외고-영어과,울산외고,2026학년도 신입생 3개년 편제표(영어과),Y,사용자 확정(학과분리 1/2)
울산외고-비영어과,울산외고,2026학년도 신입생 3개년 편제표(중러일아),Y,사용자 확정(학과분리 2/2)
울산제일고,울산제일고,,Y,단일시트
울산중앙고,울산중앙,2026학년도 신입생 3개년,Y,신입생+전학년 통합파일(계승)
천상고,천상고 2026학년도,,Y,단일시트
학성고,학성고등학교_2026학년도 학성고 신입생,2026학년도 신입생 3개년 편제(0713안),Y,멀티시트-신입생 시트 지정(계승)
학성여고,학성여고_2026학년도,,Y,단일시트
함월고,함월고 2026학년도,,Y,단일시트
현대청운고,현대청운고_2026학년도,기초안,Y,사용자 확정
호계고,호계고 2026학년도,,Y,단일시트
화봉고,화봉고_2026학년도,2026학년도 신입생 3개년 편제표,Y,"자동선정(후보1: 2026학년도 신입생 3개년 편제표); 전체시트: 2025학년도 신입생 3개년 편제표(안)/2025학년도 신입생 3개년 편제표(_1안)/2025학년도 신입생 3개년 편제표(3안)/2025학년도 신입생 3개년 편제표(5안)/2025학년도 신입생 3개년 편제표(4안)/2026학년도 신입생 3개년 편제표/2025학년도 신입생 3개년 편제표(2안)"
화암고,화암고 2026학년도,,Y,단일시트
효정고,효정고등학교,2026.신입생 교육과정편제 ,Y,유의사항 시트 제외(계승)
